Price,Discount,Tax Rate,Stock Level,Supplier ID,Shipping Cost,Return Rate,Popularity Index,Target_Clase,Category_Beauty,Category_Clothing,Category_Electronics,Category_Home Decor,Category_Sports,Customer Age Group_18-24,Customer Age Group_25-34,Customer Age Group_35-44,Customer Age Group_45-54,Customer Age Group_55+,Customer Gender_Female,Customer Gender_Male,Customer Gender_Non-binary,Shipping Method_Express,Shipping Method_Overnight,Shipping Method_Standard,Seasonality_All-Year,Seasonality_Autumn,Seasonality_Spring,Seasonality_Summer,Seasonality_Winter
0.4975579669730727,0.25,0.12,-1.2975250667922882,SUP_29,-0.498041719079215,0.04,-1.0761216000682625,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
1.2722872892047914,0.27,0.05,-0.42318244114499975,SUP_49,-1.12512291050125,0.08,1.2655845585265761,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
-0.7911777903525355,0.25,0.12,1.1155228882421573,SUP_17,0.9319302484400251,0.08,-1.3516164422558905,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
1.2928463932226275,0.07,0.05,0.7265436886431668,SUP_55,-0.8699154488760031,0.15,1.5410794007142044,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
0.5633297990413527,0.17,0.12,-1.2837558915852443,SUP_89,-0.2922553849433015,0.17,1.2655845585265761,2,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0.11339395178425359,0.41,0.12,0.9365236105505864,SUP_70,-0.15938546841460183,0.19,-0.7317530473337274,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
-1.5454056778624012,0.13,0.16,-0.4713745543696535,SUP_72,-0.2395935277825364,0.02,1.1622739927062158,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
-1.1317438177784265,0.04,0.05,0.1826612679649323,SUP_69,-0.5304490157935319,0.09,0.025857768682249878,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
0.14107521385595417,0.35,0.16,1.1017537130351134,SUP_62,1.2584337628367694,0.21,1.0589634268858552,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
0.7288118438637374,0.34,0.12,1.4528676808147332,SUP_84,-0.5053333608399363,0.02,-1.6271112844435187,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
